number,bin_volume,filled_bins,empty_bins,colors,a_star_tree_h2_time,a_star_tree_h2_sol,a_star_tree_h2_expanded,a_star_graph_h2_time,a_star_graph_h2_sol,a_star_graph_h2_expanded,a_star_tree_h3_time,a_star_tree_h3_sol,a_star_tree_h3_expanded,a_star_graph_h3_time,a_star_graph_h3_sol,a_star_graph_h3_expanded,random_walk_time,random_walk_sol,random_walk_restart,hill_no_sideways_h1_time,hill_no_sideways_h1_sol,hill_sideways_h1_time,hill_sideways_h1_sol,hill_no_sideways_h2_time,hill_no_sideways_h2_sol,hill_sideways_h2_time,hill_sideways_h2_sol,hill_no_sideways_h3_time,hill_no_sideways_h3_sol,hill_sideways_h3_time,hill_sideways_h3_sol,dfs_graph_time,dfs_graph_sol,dfs_graph_expanded,bfs_graph_time,bfs_graph_sol,bfs_graph_expanded
858,4,4,2,4,0.020074701,10.0,104,0.224531889,10.0,111,0.009845448,10.0,50,0.0132030487060546,11,50,0.003364158,16,0,0.002028918,,0.083040619,,0.005824661,8.0,0.006251359,8.0,0.002599311,,0.008337975,10.0,0.0052958726882934,12,50,1.4153672456741333,,10000
859,4,4,2,4,0.005994558,8.0,35,0.071674109,8.0,35,0.008195543,8.0,49,0.007394862,8,49,0.002012277,15,0,0.001405787,,0.105784345,,0.005977106,,0.008562613,10.0,0.001399875,,0.082665873,,0.0312198400497436,47,216,1.5184382200241089,,10000
860,4,4,2,4,0.007347155,10.0,42,0.083482265,10.0,42,0.009067631,10.0,62,0.012701344,10,62,0.00241847,17,0,0.002209353,,0.089470792,,0.008620238,,0.010831308,13.0,0.008695126,12.0,0.011612868,12.0,0.0478684902191162,93,436,1.4299156665802002,,10000
861,4,4,2,4,0.005655146,8.0,33,0.076715231,8.0,33,0.00880363,8.0,56,0.0115381002426147,8,52,0.002515078,18,0,0.001114058,,0.098690271,,0.00482595,,0.010943747,12.0,0.001300311,,0.098236203,,0.0798918008804321,100,636,1.368433713912964,,10000
862,4,4,2,4,0.1003430843353271,7.0,588,0.1595165729522705,7.0,73,0.089331484,7.0,530,0.027824855,8,129,0.002369022,17,0,0.002033925,,0.074281502,,0.007750773,,0.010613465,11.0,0.008690405,,0.012278461,12.0,0.0754323005676269,72,378,1.5708706378936768,,10000
863,4,4,2,4,0.029898334,9.0,186,0.6985931396484375,9.0,319,0.008976531,9.0,53,0.068006968,10,266,0.002312541,10,0,0.001509166,,0.087389946,,0.007114029,10.0,0.00733645,10.0,0.002529073,,0.007882881,11.0,0.0300863981246948,58,281,1.4578429460525513,,10000
864,4,4,2,4,0.035737205,11.0,183,2.5484602451324463,11.0,954,0.5563102960586548,11.0,2947,0.0395314931869506,12,181,0.002713823,24,0,0.001515222,,0.071796966,,0.005543876,,0.008138371,12.0,0.008975506,,0.011292458,12.0,0.0284833908081054,54,237,1.4597545862197876,,10000
865,4,4,2,4,0.0280722379684448,10.0,160,0.5181448459625244,10.0,208,0.006890488,10.0,47,0.010294222831726,11,47,0.002608013,17,0,0.002315307,,0.073837852,,0.006777215,10.0,0.007257009,10.0,0.007731056,,0.01536386,12.0,0.0321433544158935,64,307,1.588998556137085,,10000
866,4,4,2,4,0.007267356,9.0,40,0.083225727,9.0,40,0.0242640495300292,9.0,128,0.0238653182983398,10,115,0.003783059,15,0,0.001410651,,0.011372423,13.0,0.007354569,11.0,0.008942604,11.0,0.001315069,,0.009176111,12.0,0.0091010332107543,20,88,1.401894450187683,,10000
867,4,4,2,4,0.0111859083175659,9.0,66,0.1335310935974121,9.0,57,0.0170117378234863,9.0,76,0.015104818,10,65,0.003500581,31,0,0.001516962,,0.0899616,,0.007159901,,0.012472939,13.0,0.002707815,,0.081675363,,0.0526025295257568,88,495,1.364158034324646,,10000
868,4,4,2,4,0.005566287,8.0,33,0.067000866,8.0,33,0.0172763109207153,8.0,110,0.022562933,8,115,0.002107453,12,0,0.001300144,,0.101683211,,0.007344532,,0.009800148,12.0,0.010250926,12.0,0.010857034,12.0,0.0318663120269775,62,304,1.3923524618148804,,10000
869,4,4,2,4,0.095554686,10.0,546,0.5494973659515381,10.0,224,0.008641005,10.0,57,0.0133397102355957,11,57,0.003285933,20,0,0.002799153,,0.089773464,,0.006114817,8.0,0.006011915,8.0,0.0059196,,0.009730434,11.0,0.0120675563812255,24,106,1.4470245838165283,,10000
